"";"X.HDLENS2014";"X.HDLENS2015";"X.HDLENS2016";"X.HDLENS2017";"X.HDLENS2018";"X.HDLENS2019";"X.HDLENS2020";"X.HDLENS2021";"X.HDLENS2022";"X.HDLENS2023";"X.HDLENS2024"
"municipal";-1;-1;-1;-1;1;1;-1;-1;-1;2;-1
"estadual";-1;-1;-1;-1;-1;1;-1;-1;-1;2;-1
"articulado";-1;-1;-1;-1;1;1;2;1;-1;-1;-1
"proposto";-1;-1;-1;-1;-1;5;-1;1;2;-1;-1
"especializar";-1;-1;-1;-1;1;-1;-1;1;3;-3;2
"critério";-1;-1;-1;-1;1;1;-1;1;-1;1;-1
"adequação";-1;-1;-1;-1;1;1;-1;-1;-1;3;-1
"colaborar";-1;-1;-1;-1;1;3;-1;1;1;1;-2
"alto";-1;-1;-1;-1;1;2;1;-1;1;-2;1
"docente";-1;-1;-2;-2;-1;-3;-2;-2;1;12;-2
"etc";-1;-1;-1;-1;1;3;2;-1;-1;-2;1
"circulação";-1;-1;-1;-1;1;1;1;1;-1;-1;-1
"deixar";-1;-1;-1;-1;1;1;-1;-1;3;-2;2
"controlo";-1;-1;-1;-1;1;1;-1;-1;-1;-1;2
"dossiê";-1;-1;-1;-1;1;1;1;3;1;-4;1
"quatro";-1;-1;-1;-1;2;-1;-1;-1;1;1;-1
"latino";-1;-1;-1;-1;2;-1;2;-1;-1;-1;2
"estúdio";-1;-1;-1;-1;1;1;2;1;-1;-1;-1
"modalidade";-1;-1;-1;-1;1;1;-1;-1;-1;1;1
"espanha";-1;-1;-1;-1;-1;5;-1;-1;4;-2;-1
"produtivo";-1;-1;-1;-1;-1;1;1;5;1;-2;-1
"dedicar";-1;-1;-1;-1;-1;1;1;1;1;-1;-1
"finalidade";-1;-1;-1;-1;-1;-1;1;-1;-1;2;-1
"seleção";-1;-1;-1;-1;-1;3;-1;-1;1;-1;2
"identificado";-1;-1;-1;-1;-1;2;-1;-1;1;-1;1
"agência";-1;-1;-1;-1;-1;3;3;-1;-1;-1;-1
"desinformação";-1;-1;-1;-1;-1;-1;-1;2;1;-1;1
"graduação";-1;-1;-1;-1;-1;-1;2;-1;2;-1;-1
"anotar";-1;-1;-1;-1;-1;17;-1;-1;1;-2;-1
"custo";-1;-1;-1;-1;-1;2;-1;1;-1;-1;1
"2008";-1;-1;-1;-1;-1;1;-1;-1;-1;3;-1
"orientação";-1;-1;-1;-1;-1;1;-1;-1;5;-1;-1
"amplamente";-1;-1;-1;-1;-1;3;1;-1;2;-1;-1
"processamento";-1;-1;-1;-1;-1;2;1;-1;1;-2;1
"motivo";-1;-1;-1;-1;-1;-1;-1;-1;-1;4;-1
"disponibilizar";-1;-1;-1;-1;-1;3;5;1;2;-2;-2
"2015";-1;-1;-1;-1;-1;1;2;1;1;-2;1
"debater";-1;-1;-1;-1;-1;1;1;1;-1;1;1
"conectividade";-1;-1;-1;-1;-1;8;4;-1;-1;-2;1
"jogador";-1;-1;-1;-1;-1;1;1;7;-2;-1;-1
"advir";-1;-1;-1;-1;-1;5;2;1;-1;-1;-1
"lacuna";-1;-1;-1;-1;-1;1;-1;-1;1;-1;1
"2010";-1;-1;-1;-1;-1;-1;1;1;-1;2;-2
"habilidade";-1;-1;-1;-1;-2;-1;-1;-1;-1;8;-1
"2006";-1;-1;-1;-1;-1;20;1;-1;1;-4;-1
"sociocultural";-1;-1;-1;-1;-1;2;-1;-1;-1;2;-1
"atentar";-1;-1;-1;-1;-1;7;-1;-1;1;-1;-1
"preparar";-1;-1;-1;-1;-1;1;-1;-1;1;-1;3
"afirmar";-1;-1;-1;-1;-1;-1;-1;-1;-1;3;-1
"gama";-1;-1;-1;-1;-1;-1;-1;-1;-1;5;-1
"diretamente";-1;-1;-1;-1;-1;2;-1;1;2;-2;-1
"acontecer";-1;-1;-1;-1;-1;-1;-1;-1;-2;9;-1
"acarretar";-1;-1;-1;-1;-1;1;-1;1;-1;2;-1
"educar";-1;-1;-1;-1;-1;1;-1;1;-1;3;-1
"requerer";-1;-1;-1;-1;-1;3;1;-1;-1;-1;1
"barreira";-1;-1;-1;-1;-1;3;1;1;-1;-1;1
"educador";-1;-1;-1;-1;-1;-1;-1;-1;-1;1;3
"autônomo";-1;-1;-1;-1;-1;1;1;-1;-1;-1;3
"incerto";-1;-1;-1;-1;-1;1;-1;-1;-1;2;-1
"curiosidade";-1;-1;-1;-1;-1;-1;-1;-1;-1;6;-2
"sala";-1;-1;-1;-1;-2;-2;-1;-2;-1;8;-1
"atender";-1;-1;-1;-1;-1;1;-1;-1;2;-1;2
"oficial";-1;-1;-1;-1;-1;1;1;2;-1;-1;1
"assistir";-1;-1;-1;-1;-1;1;1;-1;2;-2;1
"situar";-1;-1;-1;-1;-1;1;1;1;-1;-1;-1
"alcançar";-1;-1;-1;-1;-1;-1;-1;-1;1;3;-1
"excluir";-1;-1;-1;-1;-1;1;-1;-1;-1;2;1
"argentino";-1;-1;-1;-1;-1;1;3;7;-1;-2;-1
"acessibilidade";-1;-1;-1;-1;-1;-1;-1;-1;-1;-2;10
"audiovisual";-1;-1;-1;-1;-1;1;14;3;-1;-3;-1
"fluxo";-1;-1;-1;-1;-1;2;-1;1;-1;1;-1
"contínuo";-1;-1;-1;-1;-1;1;-1;1;1;-3;6
"pauta";-1;-1;-1;-1;-1;1;1;-1;-1;2;-1
"seguinte";-1;-1;-1;-1;-1;1;-1;-1;1;2;1
"violência";-1;-1;-1;-1;-1;-1;-2;-1;26;-3;-1
"simbólico";-1;-1;-1;-1;-1;1;1;1;-1;-1;-1
"coisa";-1;-1;-1;-1;-1;1;-1;1;-1;2;-1
"deficiência";-1;-1;-1;-1;-1;1;1;-1;-1;1;1
"investigativo";-1;-1;-1;-1;-1;3;1;1;1;-1;-1
"capacitar";-1;-1;-1;-1;-1;-1;-1;-1;-2;6;-1
"abrangente";-1;-1;-1;-1;-1;1;-1;1;-1;1;2
"par";-1;-1;-1;-1;-1;1;-1;1;-1;-2;2
"integral";-1;-1;-1;-1;-1;1;-1;-1;1;1;1
"distribuição";-1;-1;-1;-1;-1;1;1;-1;2;-1;1
"estimular";-1;-1;-1;-1;-1;-1;-1;-1;-1;5;-1
"1980";-1;-1;-1;-1;-1;-1;-2;-1;-2;10;-2
"editor";-1;-1;-1;-1;-1;1;5;3;-1;-3;-1
"equipa";-1;-1;-1;-1;-1;1;1;-1;1;1;1
"diversidade";-1;-1;-1;-1;-1;-1;1;-1;1;1;1
"avaliação";-1;-1;-1;-1;-1;-1;-1;-1;1;1;3
"lúdico";-1;-1;-1;-1;-1;3;-1;-1;-1;-1;2
"mobilizar";-1;-1;-1;-1;-1;1;1;1;-1;-1;1
"afeto";-1;-1;-1;-1;-1;1;-1;-1;-1;1;1
"educandos";-1;-1;-1;-1;-1;-1;-1;-1;-1;7;-3
"gamificação";-1;-1;-1;-1;-1;1;-1;-1;-1;1;1
"útil";-1;-1;-1;-1;-1;1;3;-1;3;-2;-1
"setor";-1;-1;-1;-1;-1;-1;-1;1;5;-2;1
"engajado";-1;-1;-1;-1;-1;1;1;-1;-1;3;-1
"sustentável";-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;5
"despertar";-1;-1;-1;-1;-1;-1;-1;1;-2;4;-1
"compromisso";-1;-1;-1;-1;-1;1;2;2;-1;-1;-1
"sustentabilidade";-1;-1;-1;-1;-1;6;-1;1;-1;-1;1
"socioeconômico";-1;-1;-1;-1;-1;1;-1;1;-1;1;-1
"presencial";-1;-1;-1;-1;-1;-1;-1;-1;5;-1;1
"ead";-1;-1;-1;-1;-1;-1;-1;-1;1;-3;13
"promoção";-1;-1;-1;-1;-1;1;-1;-1;-1;-1;6
"parceria";-1;-1;-1;-1;-1;1;-1;-1;-1;2;-1
"estímulo";-1;-1;-1;-1;-1;1;-1;1;-1;3;-1
"prazo";-1;-1;-1;-1;-1;1;1;-1;-1;-1;3
"esforço";-1;-1;-1;-1;-1;1;2;1;-1;-1;1
"silva";-1;-1;-1;-1;-2;-1;-2;-2;-3;18;-3
"amp";-1;-1;-1;-1;-1;1;-1;4;-1;-3;4
"pereira";-1;-1;-1;-1;-1;1;-1;-1;-1;4;-1
"reunir";-1;-1;-1;-1;-1;7;-1;1;-1;-1;-1
"idade";-1;-1;-1;-1;-1;1;-1;-1;-1;-1;2
"desigualdade";-1;-1;-1;-1;-1;1;-1;3;1;-2;2
"cibernético";-1;-1;-1;-1;-1;1;-1;-1;-1;-1;8
"levantar";-1;-1;-1;-1;-1;1;-1;1;-1;-1;1
"urgente";-1;-1;-1;-1;-1;1;1;-1;-1;1;-1
"2019";-1;-1;-1;-1;-1;1;-2;1;1;1;1
"progresso";-1;-1;-1;-1;-1;1;1;-1;7;-2;-1
"tratado";-1;-1;-1;-1;-1;1;2;-1;-1;1;-1
"mau";-1;-1;-1;-1;-1;1;-1;-1;1;2;-1
"consequência";-1;-1;-1;-1;-1;-1;2;1;-1;1;-1
"segurança";-1;-1;-1;-1;-1;-1;-1;-1;1;-1;3
"matemática";-2;-1;-3;-3;-4;-1;-5;-6;-10;81;-15
"ghemat";-1;-1;-1;-1;-1;36;-1;-1;-1;-3;-1
"matemático";-1;-1;-1;-1;-1;1;-1;-1;-1;4;-1
"docência";-1;-1;-1;-1;-1;1;-1;-1;3;-1;-1
"especialista";-1;-1;-1;-1;-1;2;1;1;-1;-1;1
"execução";-1;-1;-1;-1;-1;-1;-1;-1;-2;6;-1
"geografia";-1;-1;-1;-1;-1;-1;-1;-1;1;4;-1
"ramo";-1;-1;-1;-1;-1;1;1;-1;-1;3;-1
"curar";-1;-1;-1;-1;-1;1;-1;-1;6;-2;1
"significado";-1;-1;-1;-1;-1;-1;1;-1;-1;1;1
"et";-1;-1;-1;-1;-1;-1;1;-1;-2;-5;17
"al";-1;-1;-1;-1;-1;-1;1;-1;-2;-5;18
"1988";-1;-1;-1;-1;-1;1;1;-1;-1;2;-1
"moran";-1;-1;-1;-1;-1;1;-1;-1;-1;3;-1
"mineração";-1;-1;-1;-1;-1;3;2;1;1;-1;-1
"prever";-1;-1;-1;-1;-1;1;-1;-1;2;1;-1
"cumprir";-1;-1;-1;-1;-1;-1;-1;2;-1;-1;1
"engajamento";-1;-1;-1;-1;-1;-1;-1;-1;-2;1;3
"atualizar";-1;-1;-1;-1;-1;1;1;1;-1;-2;3
"voz";-1;-1;-1;-1;-1;-1;-1;17;-1;-2;-1
"enfatizar";-1;-1;-1;-1;-1;-1;-1;-1;-1;1;3
"enriquecer";-1;-1;-1;-1;-1;-1;1;-1;-1;-2;8
"proteção";-1;-1;-1;-1;-1;-1;-1;-1;1;1;1
"ganhar";-1;-1;-1;-1;-1;-1;1;-1;1;1;-1
"associado";-1;-1;-1;-1;-1;-1;1;3;1;-2;2
"impactar";-1;-1;-1;-1;-1;-1;-1;1;1;1;1
"amazona";-1;-1;-1;-1;-1;-1;2;1;-1;1;-1
"campus";-1;-1;-1;-1;-1;-1;1;4;4;-3;-1
"questionário";-1;-1;-1;-1;-1;-2;-1;-2;-1;5;1
"reconhecimento";-1;-1;-1;-1;-1;-1;5;1;1;-1;-1
"reforçar";-1;-1;-1;-1;-1;-1;2;-1;-1;1;1
"fundamento";-1;-1;-1;-1;-1;-1;2;-1;-1;-1;2
"marketing";-1;-1;-1;-1;-1;-1;20;-1;-1;1;-2
"science";-1;-1;-1;-1;-1;-1;1;8;-1;-1;-1
"convidar";-1;-1;-1;-1;-1;-1;2;1;-1;2;-2
"2020";-1;-1;-1;-1;-2;-3;22;6;1;-7;1
"visualizar";-1;-1;-1;-1;-1;-1;1;-1;-1;3;1
"tese";-1;-1;-1;-1;-1;-1;1;1;1;-1;2
"doença";-1;-1;-1;-1;-1;-1;1;-1;1;-1;5
"covid";-1;-1;-1;-1;-2;-3;3;1;2;1;-2
"19";-1;-1;-1;-1;-2;-3;3;1;2;1;-2
"coronavírus";-1;-1;-1;-1;-1;-1;1;-1;7;-1;-2
"saúde";-1;-1;-2;-1;-2;-3;8;-1;1;-4;11
"pandêmico";-1;-1;-1;-1;-1;-1;-1;2;-1;1;-1
"pandemia";-1;-1;-2;-2;-2;-3;1;1;3;3;-2
"adverso";-1;-1;-1;-1;-1;-1;1;-1;3;-2;2
"prevenção";-1;-1;-1;-1;-1;-1;1;-1;1;-1;3
"especializado";-1;-1;-1;-1;-1;-1;5;1;1;-3;1
"jornada";-1;-1;-1;-1;-1;-1;2;-1;-1;2;-1
"canal";-1;-1;-1;-1;-1;-1;1;1;6;-2;-1
"preocupação";-1;-1;-1;-1;-1;-1;1;-1;-1;1;2
"substituir";-1;-1;-1;-1;-1;-1;1;-1;-1;2;-1
"criatividade";-1;-1;-1;-1;-1;-1;1;-1;-1;2;-1
"2021";-1;-1;-1;-1;-1;-2;-1;1;2;-1;2
"curricular";-1;-1;-1;-1;-1;-1;-1;1;-1;1;2
"semiótica";-1;-1;-1;-1;-1;-1;2;1;-1;-3;5
"propagação";-1;-1;-1;-1;-1;-1;1;1;-1;-1;2
"isolamento";-1;-1;-1;-1;-1;-2;-1;1;1;4;-2
"familiar";-1;-1;-1;-1;-1;-1;-1;1;2;1;-1
"desafiador";-1;-1;-1;-1;-1;-1;1;-1;-1;1;1
"adaptar";-1;-1;-1;-1;-1;-1;-1;1;-1;-1;5
"extensão";-1;-1;-1;-1;-1;-1;-1;2;3;-1;-1
"discente";-1;-1;-1;-1;-1;-2;-1;1;-2;5;-1
"discordar";-1;-1;-1;-1;-1;-1;1;-1;4;-1;-1
"borges";-1;-1;-1;-1;-1;-1;-1;-1;-1;6;-2
"vídeo";-1;-1;-1;-1;-1;-1;2;1;1;-1;1
"ressaltar";-1;-1;-1;-1;-1;-1;-1;-1;2;-2;5
"temporal";-1;-1;-1;-1;-1;-1;1;1;4;-2;1
"lhe";-1;-1;-1;-1;-1;-1;1;-1;-1;4;-1
"notável";-1;-1;-1;-1;-1;-1;1;-1;-1;1;1
"erro";-1;-1;-1;-1;-1;-1;3;-1;2;-2;1
"cobertura";-1;-1;-1;-1;-1;-1;15;-1;-1;-1;-1
"indígena";-1;-1;-1;-1;-1;-1;-1;-1;-2;1;5
"multimídia";-1;-1;-1;-1;-1;-1;-1;-1;-1;1;2
"alves";-1;-1;-1;-1;-1;-1;-1;-1;-1;9;-2
"monitoramento";-1;-1;-1;-1;-1;-1;-1;1;-1;1;2
"recorrente";-1;-1;-1;-1;-1;-1;1;2;1;-1;1
"infantil";-1;-1;-1;-1;-1;-2;-1;1;-1;4;-1
"adulto";-1;-1;-1;-1;-1;-1;-1;-1;1;5;-2
"desmistificar";-1;-1;-1;-1;-1;-1;1;-1;-1;3;-1
"apoiar";-1;-1;-1;-1;-1;-1;1;-1;-1;1;1
"interacionismo";-1;-1;-1;-1;-1;-1;1;-1;-1;3;-1
"comprometido";-1;-1;-1;-1;-1;-1;1;-1;-1;2;1
"vítima";-1;-1;-1;-1;-1;-1;1;-1;2;-1;1
"doméstico";-1;-1;-1;-1;-1;-1;1;1;5;-2;1
"transição";-1;-1;-1;-1;-1;-1;1;2;1;-2;1
"contextualizar";-1;-1;-1;-1;-1;-1;1;2;3;-1;-1
"vírus";-1;-1;-1;-1;-1;-1;1;1;-1;2;-1
"branco";-1;-1;-1;-1;-1;-1;1;2;-1;1;1
"capitalista";-1;-1;-1;-1;-1;-1;1;2;-1;-1;2
"coletado";-1;-1;-1;-1;-1;-1;1;1;2;-1;1
"imposto";-1;-1;-1;-1;-1;-1;-1;1;-1;2;-1
"policial";-1;-1;-1;-1;-1;-1;-1;2;-1;-1;3
"crime";-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;6
"enfrentamento";-1;-1;-1;-1;-1;-1;-1;1;10;-2;-1
"contemplação";-1;-1;-1;-1;-1;-1;-1;1;-1;3;-1
"sistemático";-1;-1;-1;-1;-1;-1;-1;-1;2;-3;6
"turismo";-1;-1;-1;-1;-1;-1;-1;1;3;1;-1
"emprego";-1;-1;-1;-1;-1;-1;-1;1;1;1;-1
"estilo";-1;-1;-1;-1;-1;-1;-1;1;-1;1;1
"afetar";-1;-1;-1;-1;-1;-1;-1;1;1;1;1
"reforma";-1;-1;-1;-1;-1;-1;-1;3;-1;2;-1
"trabalhista";-1;-1;-1;-1;-1;-1;-1;1;1;1;1
"pedra";-1;-1;-1;-1;-1;-1;-1;2;-1;2;-1
"ancoragem";-1;-1;-1;-1;-1;-1;-1;-1;-1;6;-2
"capítulo";-1;-1;-1;-1;-1;-2;-2;-1;-2;12;-2
"resolução";-1;-1;-1;-1;-1;-1;-1;1;-1;-1;4
"videogame";-1;-1;-1;-1;-1;-1;-1;1;-1;-3;11
"mãe";-1;-1;-1;-1;-1;-1;-1;1;-1;4;-1
"francisco";-1;-1;-1;-1;-1;-2;-1;-1;-1;10;-2
"x0d";-1;-1;-1;-1;-1;-1;-1;21;-1;-2;-1
"tdic";-1;-1;-1;-1;-1;-1;-1;1;-1;2;1
"mental";-1;-1;-1;-1;-1;-1;-1;3;1;-1;1
"circunstância";-1;-1;-1;-1;-1;-1;-1;1;-1;3;-1
"transtorno";-1;-1;-1;-1;-1;-1;-1;-1;-1;7;-2
"psicológico";-1;-1;-1;-1;-1;-1;-1;1;-1;1;3
"terror";-1;-1;-1;-1;-1;-1;-1;1;-1;2;-1
"inovar";-1;-1;-1;-1;-1;-1;-1;1;-1;3;-1
"equidade";-1;-1;-1;-1;-1;-1;-1;1;-1;-1;5
"distanciamento";-1;-1;-1;-1;-1;-1;-1;2;-1;2;-1
"falta";-1;-1;-1;-1;-1;-2;-1;-1;-1;1;5
"instagram";-1;-1;-1;-1;-1;-1;-1;1;-1;3;-1
"fortaleza";-1;-1;-1;-1;-1;-1;-1;1;-1;-2;11
"desejado";-1;-1;-1;-1;-1;-1;-1;1;-1;3;-1
"melhorar";-1;-1;-1;-1;-1;-2;-2;1;-1;-1;5
"aliar";-1;-1;-1;-1;-1;-1;-1;-1;-1;7;-2
"transmitir";-1;-1;-1;-1;-1;-1;-1;-1;-1;2;1
"casa";-1;-1;-1;-1;-1;-1;-1;5;1;1;-1
"charles";-1;-1;-1;-1;-1;-1;-1;1;-1;2;-1
"adaptado";-1;-1;-1;-1;-1;-1;-1;1;-1;3;-1
"luiz";-1;-1;-1;-1;-1;-1;-1;1;-1;2;-1
"freitas";-1;-1;-1;-1;-1;-1;-1;1;-1;2;-1
"batista";-1;-1;-1;-1;-1;-1;-1;1;-1;3;-1
"pinheiro";-1;-1;-1;-1;-1;-1;-1;1;-1;3;-1
"moldar";-1;-1;-1;-1;-1;-1;-1;-1;-1;3;-1
"emergencial";-1;-1;-1;-1;-1;-1;-1;-1;5;-1;1
"erar";-1;-1;-1;-1;-1;-1;-1;-1;1;1;1
"qualificação";-1;-1;-1;-1;-1;-1;-1;-1;1;3;-1
"licenciatura";-1;-1;-1;-1;-1;-1;-1;-1;1;4;-2
"planejar";-1;-1;-1;-1;-1;-1;-1;-1;1;2;1
"paciente";-1;-1;-1;-1;-1;-1;-1;-1;1;-3;13
"scielo";-1;-1;-1;-1;-1;-1;-1;-1;6;-1;1
"bncc";-1;-1;-1;-1;-1;-1;-1;-1;2;1;-1
"prova";-1;-1;-1;-1;-1;-1;-1;-1;1;3;-1
"logo";-1;-1;-1;-1;-1;-1;-1;-1;1;2;-1
"prazer";-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1
"ministério";-1;-1;-1;-1;-1;-1;-1;-1;2;2;-1
"atendimento";-1;-1;-1;-1;-1;-1;-1;-1;2;2;-1
"inclusivo";-1;-1;-1;-1;-1;-2;-2;-2;-1;1;7
"herança";-1;-1;-1;-1;-1;-1;-1;-1;1;-1;3
"síndroma";-1;-1;-1;-1;-1;-2;-2;-2;1;9;-2
"tecnologias_educacionais";-1;-1;-1;-1;-1;-1;-1;-1;1;-1;3
"transformador";-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1
"tecnologias_da_informação_e_comunicação";-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1
"instrucional";-1;-1;-1;-1;-1;-1;-1;-1;-1;-3;14
"doutor";-1;-1;-1;-1;-1;-1;-1;-1;4;1;-1
"idoso";-1;-1;-1;-1;-1;-1;-1;-1;2;1;1
"dificultar";-1;-1;-1;-1;-1;-1;-1;-1;-1;3;-1
"letrado";-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1
"inteligência_artificial";-1;-1;-1;-1;-1;-1;-1;-1;4;-3;3
"ausência";-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;5
"rua";-1;-1;-1;-1;-1;-1;-1;-1;1;-1;2
"formulário";-1;-1;-1;-1;-1;-1;-1;-1;-1;3;-1
"mec";-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1
"tributário";-1;-1;-1;-1;-1;-1;-1;-1;-1;2;1
"fechado";-1;-1;-1;-1;-1;-1;-1;-1;-1;3;-1
"trindade";-1;-1;-1;-1;-1;-1;-1;-2;-1;11;-2
"eja";-1;-1;-1;-1;-1;-2;-2;-2;-1;13;-2
"sonho";-1;-1;-1;-1;-1;-1;-1;-1;11;-1;-1
"funcionar";-1;-1;-1;-1;-1;-1;-1;-1;-1;2;1
"climático";-1;-1;-1;-1;-1;-1;-1;-1;9;-1;-1
"supervisionar";-1;-1;-1;-1;-1;-1;-1;-1;-1;4;-1
"amigo";-1;-1;-1;-1;-1;-1;-1;-1;1;2;-1
"coordenador";-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1
"2022";-1;-1;-1;-1;-1;-1;-1;-1;-1;1;3
"mediante";-1;-1;-1;-1;-1;-1;-1;-1;-1;4;-1
"mente";-1;-1;-1;-1;-1;-1;-1;-1;-1;6;-1
"máximo";-1;-1;-1;-1;-1;-1;-1;-1;-1;4;-1
"insights";-1;-1;-1;-1;-1;-1;-1;-1;-1;4;-1
"valioso";-1;-1;-1;-1;-1;-1;-1;-1;-1;3;1
"espectro";-1;-1;-1;-1;-1;-2;-2;-2;-2;9;-1
"autista";-1;-1;-1;-1;-1;-2;-2;-2;-2;7;1
"tea";-1;-1;-1;-1;-1;-1;-1;-1;-2;11;-2
"mundica";-1;-1;-1;-1;-1;-1;-1;-1;-1;6;-2
"pimentel";-1;-1;-1;-1;-1;-1;-1;-1;-1;6;-2
"luzilândia";-1;-1;-1;-1;-1;-1;-1;-1;-1;6;-2
"pi";-1;-1;-1;-1;-1;-1;-1;-1;-1;6;-1
"anna";-1;-1;-1;-1;-1;-1;-1;-1;-2;11;-2
"karla";-1;-1;-1;-1;-1;-1;-1;-1;-2;11;-2
"barro";-1;-1;-1;-1;-1;-2;-1;-2;-2;8;-1
"previamente";-1;-1;-1;-1;-1;-1;-1;-1;-1;2;1
"cleonice";-1;-1;-1;-1;-1;-2;-2;-2;-2;16;-3
"moreira";-1;-1;-1;-1;-1;-2;-2;-2;-3;19;-3
"lino";-1;-1;-1;-1;-1;-2;-2;-2;-2;16;-3
"tidc";-1;-1;-1;-1;-1;-1;-1;-1;-1;2;1
"teixeira";-1;-1;-1;-1;-1;-1;-1;-1;-1;7;-2
"nativo";-1;-1;-1;-1;-1;-2;-2;-2;-2;13;-1
"andreia";-1;-1;-1;-1;-1;-1;-1;-1;-1;7;-2
"lustosa";-1;-1;-1;-1;-1;-1;-1;-1;-2;9;-2
"1995";-1;-1;-1;-1;-1;-1;-1;-1;-1;4;-1
"desmotivação";-1;-1;-1;-1;-1;-1;-1;-1;-1;3;-1
"objetivação";-1;-1;-1;-1;-1;-1;-1;-1;-1;6;-2
"fundamentado";-1;-1;-1;-1;-1;-1;-1;-1;-1;3;-1
"equitativo";-1;-1;-1;-1;-1;-1;-1;-1;-1;1;3
"rock";-1;-1;-1;-1;-1;-1;-1;-1;-2;11;-2
"atrativo";-1;-1;-1;-1;-1;-1;-1;-1;-1;4;-1
"celular";-1;-1;-1;-1;-1;-2;-2;-2;-2;14;-3
"vilão";-1;-1;-1;-1;-1;-1;-1;-1;-1;6;-2
"moço";-1;-1;-1;-1;-1;-1;-1;-1;-1;6;-2
"edson";-1;-1;-1;-1;-1;-1;-1;-1;-1;6;-2
"cavalcante";-1;-1;-1;-1;-1;-1;-1;-1;-1;6;-2
"aproveitar";-1;-1;-1;-1;-1;-1;-1;-1;-1;5;-1
"ribeiro";-1;-1;-1;-1;-1;-1;-1;-1;-1;4;-1
"envolvente";-1;-1;-1;-1;-1;-1;-1;-1;-1;1;3
"combinar";-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;8
"farmacêutico";-1;-1;-1;-1;-1;-1;-1;-1;-1;2;1
"treinamento";-1;-1;-1;-1;-1;-1;-1;-1;-1;2;1
"influenciador";-1;-1;-1;-1;-1;-1;-1;-1;-1;2;2
"estratégico";-1;-1;-1;-1;-1;-1;-1;-1;-1;1;2
